"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To Create the KMZ Layer and validate the layer is created","SUCCESS","2024-08-20T10:37:07.717+10:00","0.0","78.59"
"To Validate the Sanity Tests for SDK Application","To Create the XYZ Layer and validate the layer is created","SUCCESS","2024-08-20T10:35:01.612+10:00","0.0","65.76"
"To Validate the Sanity Tests for SDK Application","To Validate the Base Layers Tab","SUCCESS","2024-08-20T10:38:26.376+10:00","0.0","183.65"
"To Validate the Sanity Tests for SDK Application","To Validate the Book Mark","SUCCESS","2024-08-20T11:08:47.012+10:00","0.0","57.51"
"To Validate the Sanity Tests for SDK Application","To Validate the Find Table","SUCCESS","2024-08-20T11:10:20.674+10:00","0.0","94.74"
"To Validate the Sanity Tests for SDK Application","To Validate the MAIN MenuBar Content","SUCCESS","2024-08-20T10:30:13.769+10:00","0.0","202.97"
"To Validate the Sanity Tests for SDK Application","To Validate the Red line Creation for Shapes","SUCCESS","2024-08-12T11:13:05.098+10:00","0.0","132.42"
"To Validate the Sanity Tests for SDK Application","To Validate the Red line Creation for Text","SUCCESS","2024-08-12T11:12:36.860+10:00","0.0","28.2"
"To Validate the Sanity Tests for SDK Application","To Validate the Red line Menu","SUCCESS","2024-08-12T11:11:28.858+10:00","0.0","67.88"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf Levels from Main Menu","SUCCESS","2024-08-20T10:51:41.265+10:00","0.0","90.0"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf Power from Main Menu","SUCCESS","2024-08-20T10:48:35.909+10:00","0.0","141.78"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf power Trace Report","SUCCESS","2024-08-20T10:50:57.794+10:00","0.0","43.36"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialOffice with the URl to search with address","SUCCESS","2024-08-20T11:15:55.097+10:00","0.0","66.33"
"To Validate the Sanity Tests for SDK Application","To Validate the ToolBar","SUCCESS","2024-08-20T10:33:37.424+10:00","0.0","84.13"
"To Validate the Sanity Tests for SDK Application","To test the Login functionality of SDK","SUCCESS","2024-08-20T11:13:53.584+10:00","0.0","33.87"
"To Validate the Sanity Tests for SDK Application","To validate the Address List Report & Home Passed Report from Reports Dropdown","SUCCESS","2024-08-20T11:02:03.401+10:00","0.0","139.01"
"To Validate the Sanity Tests for SDK Application","To validate the Drawings tab","SUCCESS","2024-08-20T10:44:40.544+10:00","0.0","70.9"
"To Validate the Sanity Tests for SDK Application","To validate the Equipment Report from Reports Dropdown","SUCCESS","2024-08-20T10:59:45.081+10:00","0.0","138.21"
"To Validate the Sanity Tests for SDK Application","To validate the Home Passed Report from Reports Dropdown","SUCCESS","2024-08-20T11:04:22.522+10:00","0.0","138.38"
"To Validate the Sanity Tests for SDK Application","To validate the Jobs Tab,Search and Details","SUCCESS","2024-08-20T10:41:30.116+10:00","0.0","156.88"
"To Validate the Sanity Tests for SDK Application","To validate the LogOut icon","SUCCESS","2024-08-20T11:09:44.640+10:00","0.0","2.23"
"To Validate the Sanity Tests for SDK Application","To validate the Search","SUCCESS","2024-08-20T11:07:14.676+10:00","0.0","40.55"
"To Validate the Sanity Tests for SDK Application","To validate the Splice Report from Reports Dropdown","SUCCESS","2024-08-20T10:57:09.008+10:00","0.0","155.96"
"To Validate the Sanity Tests for SDK Application","To validate the Trace Report from Reports Dropdown","SUCCESS","2024-08-20T10:55:12.024+10:00","0.0","116.86"
"To Validate the Sanity Tests for SDK Application","To validate the WMTS","SUCCESS","2024-08-20T11:07:55.324+10:00","0.0","15.67"
